1928,"אנ-סקי פארלאג, פוילן",ווילנע,געזעמלטע שריפטן.,"אנ-סקי, ש"
1928,"אנ-סקי פארלאג, פוילן",ווילנע,געזעמלטע שריפטן.,"אנ-סקי, ש"
1928,"אנ-סקי פארלאג, פוילן",ווילנע,געזעמלטע שריפטן. פיאנערן,"אנ-סקי, ש"
1928,"אנ-סקי פארלאג, פוילן",ווילנע,געזעמלטע שריפטן. פיאנערן,"אנ-סקי, ש"
1980,,תל אביב,אויף די וועגן פון פארטיזאנער קאמף. זכרונות,"אנדלין, נחמיה"
1955,קינדער ליטעראטור-פאנד,מעקסיקע,די שניי-מלכה.,"אנדערסען, ה"
,מאקס יאנקאוויטש,ניו יארק,דער רויטער געלעכטער.,"אנדרעיעוו, לעאניד"
1972,המנורה,תל אביב,Mayn tatns yerusheh : lider.,"אנדרעס, חיה רחל"
1912,היברו פאבלישינג קא,ניו יארק,געזאמלטע שריפטן.,"אנדרעעוו, לעאניד"
1912,היברו פאבלישינג קא,ניו יארק,געקליבענע שריפטן,"אנדרעעוו, לעאניד"
1909,היברו פאבלישינג קא,ניו יארק,דער אשמדאי.,"אנדרעעוו, לעאניד"
1926,היברו פאבלישינג קאמפאני,ניו יארק,געקליבענע שריפטן,"אנדרעעוו, לעאניד - מ. קאטץ"
,קונסט פארלאג,קיעוו,ווינטער,"אנוכי, ז. י."
1964,,תל אביב,זלמן ריפע,"אסטראווסקי-רוטמאן, א.נ."
1963,,תל אביב,דערציילונגען און דראמע.,"אסטראווסקי (ראטמאן), א. נ."
1930,פאלקס שול פארלאג,ניו יארק,אידיש. פאר אנפאנגער. א,"אסטראווסקי, ב - הורוויץ, ש"
1927,פאלקס שול פארלאג,ניו יארק,אידיש. פאר אנפאנגער. ב.,"אסטראווסקי, ב - הורוויץ, ש"
1952,יידישער וואלט קאנגרעס,מעקסיקע,יארבוך פון מעקסיקאנער יידנטום. 1950-52,"אסטרי-דן, ישיעהו"
1981,ישראל בוך,תל אביב,ניט קיין אלבאטראס. לידער,אסיא
1972,מנורה,תל אביב,צווייגן-ציטער,אסיא
1926,אייגענע,לאס אנדזשעלעס,דאס בוך פון נסיונות,"אסמאן, ישראל"
1933,ע. מאלינא,ניו יארק,א טאג אין רעגענסבורג און אליהו בחור,"אפאטאשו, י"
1947,פארלאג י. ר. נאוואק,ניו יארק,אין פוילישע וועלדער,"אפאטאשו, י"
1955,ציקא,ניו יארק,בר-ככבא. דער לעצטער אויפשטאנד.,"אפאטאשו, י"
1931,ב. קלעצקין,ווילנע,געזאמלטע ווערק. קלאסנקאמף,"אפאטאשו, י"
1945,יידיש,בוענאס איירעס,ווען פוילן איז געפאלן,"אפאטאשו, י"
1949,גרשון פאמאראנץ,טאראנטא,יידיש און יידישקייט,"אפאטאשו, י"
1954,יוסף איוואן און שרה איוואן-בורשטין,בוענאס איירעס,מלאווער דערציילונגען,"אפאטאשו, י"
1922,אידישער ליטערארישער פארלאג,בערלין,פארלוירענע מענטשן,"אפאטאשו, י"
1957,ציקא,ניו יארק,פון אונדזער אוצר.,"אפאטאשו, י"
1936,,ניו יארק,זאמלביכער. 1,"אפאטאשו, י - ה. לייוויק (רעד)"
1936,,ניו יארק,זאמלביכער. 1,"אפאטאשו, י - ה. לייוויק (רעד)"
1937,,ניו יארק,זאמלביכער. 2,"אפאטאשו, י - ה. לייוויק (רעד)"
1937,,ניו יארק,זאמלביכער. 2,"אפאטאשו, י - ה. לייוויק (רעד)"
1938,,ניו יארק,זאמלביכער. 3,"אפאטאשו, י - ה. לייוויק (רעד)"
1939,,ניו יארק,זאמלביכער. 4,"אפאטאשו, י - ה. לייוויק (רעד)"
1943,,ניו יארק,זאמלביכער. 5,"אפאטאשו, י - ה. לייוויק (רעד)"
